<_name_<type1_A>_>,
<_type_<csv>_>,
0,<_<餐研社>_>,
1,<_<私房麵>_>,
2,<_<丐幫滷味>_>,
3,<_<鹽水雞>_>,
4,<_<八方雲集>_>,
5,<_<敏忠小吃店>_>,
6,<_<大胖小吃(廢墟)>_>,
7,<_<楊記小吃>_>,
8,<_<赤肉羹>_>,
9,<_<吃的小館>_>,
10,<_<喜記>_>,
11,<_<老麵水煎包>_>,
12,<_<廣東粥/甜不辣>_>,
13,<_<羹大王>_>,
14,<_<佳味自助餐>_>,
